record_id,duplicate_id,author,year,journal,doi,title,pages,volume,number,abstract,isbn,label,source,record_ids,asreview_prior,exported_notes_1,included,asreview_ranking
250,1332,"Porru, Carta, Toninelli, Bozzola, Arici",2016,International archives of occupational and environmental health,10.1007/s00420-016-1135-5,Reducing the underreporting of lung cancer attributable to occupation: outcomes from a hospital-based systematic search in Northern Italy.,981-9,89,6,"Occupational exposure to lung carcinogens is and was common in workplaces. 5-25 % of lung cancers (LCs) could be causally attributable to occupation; however, LC underreporting and undercompensation are widespread, with remarkable tolls paid by individuals and society. This work aims to: describe an ongoing hospital-based systematic search (SS) of occupational LC; improve aetiological diagnosis; increase number and quality of LC notifications. Through a short form, physicians at a public hospital referred incident LC to the Occupational Health Unit (OHU). Only patients selected through the form were interviewed; a personal, occupational and clinical history was collected; reports were sent to the ward and Local Health Authority, with aetiological diagnosis criteria and probability of causation. From 1998 to 2013, 3274 cases of LC were notified to the OHU; prior to the system, just couple of dozens were assessed. A total of 1522 patients were fully interviewed; in 395 cases, causation was attributed to occupation (26 % of interviewed patients); all were notified to authorities, as compared to the handful reported before the system was adopted. Main aetiological agents were silica, asbestos, polycyclic aromatic hydrocarbons, truck driving, painting, multiple exposures. Compensation rate was remarkable (39 %). Through SS, many occupational LCs were found that otherwise would have been lost. Aetiological diagnosis proved to be rich of scientific advantages and practical implications, with attention to equity and social aspects. SS was easy, accountable and fostered multidisciplinary collaboration among medical specialties, significantly reducing underreporting and undercompensation of occupational LC.",1432-1246,-1,"pubmed, embase","1332, 1073",1,,1,1
67,1089,"Sla˚stad, S. and Leira, H.L. and Aas, O. and Amundsen, T. and Sørhaug, S. and Sundstrøm, S. and Grønberg, B.H. and Hilt, B.",2014,Eur. Respir. J,,Occupational lung cancer in Middle Norway,,44,,"Background Lung cancer may be related to exposures at work, but this relation is often not established or reported. In this study we wanted to look at work relation, reporting and compensation for newly diagnosed cases of lung cancer Method The aim of the study was to interview newly diagnosed lung cancer patients about occupation and exposures at work. The relation between lung cancer and occupation was established for each patient as probably, possibly or not probably occupational. The patients were counselled about possibilities for compensation. The number of reported cases in the project period from all health regions in Norway to The Norwegian Labour Inspection Authority was assessed, and information about granted compensation among the study participants was collected from The Norwegian Labour and Welfare Administration (NAV) Results We interviewed 105 lung cancer patients, 73 men and 32 women. Among men 16% were diagnosed as probably and 22% as possibly occupational. No cases among women were judged as occupational. From the different health regions in Norway 1,7-5,1% of lung cancers were reported as occupational. Among the patients who applied for compensation 9 out of 11 with probable and 5 out of 12 with possible ocupational disease were granted compensation from NAV Discussion Attributable fraction for male lung cancer is about 20%. The proportion of patients with work related disease in our study is of the same magnitude. The underreporting of occupational lung cancer is considerable. In the diagnostic approach to lung cancer an assessment of the patient's occupational exposures is often forgotten. More patients could have had their disease compensated if this interview was a compulsary part of the diagnostic procedure.",0903-1936,title_duplicate,"embase, openalex","1089, 1733",,,,2
285,1300,"Vermeulen, Portengen",2022,Occupational and environmental medicine,10.1136/oemed-2021-107752,How serious are we about protecting workers health? The case of diesel engine exhaust.,540-542,79,8,"Regulators frequently deviate from health-based recommendations when setting occupational exposure limits, but the impact on workers' health is rarely made explicit. We present a quantitative evaluation of the expected impact of recently proposed regulatory limits for occupational diesel engine exhaust (DEE) exposure on the excess burden of lung cancer (LC) in Europe. We used a lifetable approach, basing our analyses on the DEE exposure distribution in a large general population study, as well as the 5% prevalence used in earlier DEE burden calculations. We evaluated the effects of intervention on DEE exposures according to a health based limit (1 ug/m3 of elemental carbon (EC)) and both Dutch (10 ug/m3) and European (50 ug/m3) proposed regulatory limit values. Results were expressed as individual excess lifetime risks (ELR), total excess number of cases and population attributable fraction of LC. The ELR for the EU working population was estimated to be 341/10 000 workers based on our empirical exposure distribution and 46/10 000 workers based on the 5% prevalence. Implementing the proposed health based DEE limit would reduce the ELR by approximately 93%, while the proposed regulatory limits of 10 and 50 ug/m3 EC would reduce the ELR by 51% and 21%, respectively. Although the proposed regulatory limits are expected to reduce the number of DEE related LC deaths, the residual ELRs are still significantly higher than the targets used for deriving health-based risk limits. The number of additional cases of LC in Europe due to DEE exposure, therefore, remains significant.",1470-7926,-1,"pubmed, embase, openalex","1300, 1022, 1643",,,,3
428,1346,"García Gómez, Castañeda López, Urbanos Garrido, López Menduiña, Markowitz",2013,Gaceta sanitaria,10.1016/j.gaceta.2013.01.002,Medical costs of cancer attributable to work in the Basque Country (Spain) in 2008.,310-7,27,4,"Underreporting of work-related cancer in the Basque Country (Spain) is massive. The aim of our study is to estimate the job-related cancer in the Basque Country in 2008 treated by the Basque Public Health System-Osakidetza, as well as the medical costs derived from its treatment in the same year. Scientific evidence from industrialised countries is used to estimate the number of processes of cancer attributable to work. Medical costs for specialised care (outpatient and hospital admissions) are derived from the National Health System cost accounts. Costs due to primary health care and pharmaceutical benefits are obtained from Spanish secondary sources. Figures were computed according to disease and sex. We estimate 1,331 work-attributable cancers hospitalizations and 229 work-attributable cancers specialized ambulatory cases. Medical costs borne by public health care system exceed 10 million euros. Specialized care accounts for 64.2% of the total cost. Bronchus and lung cancer represents the largest percentage of total expenditure (27%), followed by the bladder cancer (12.6%), mesothelioma (8.6%), the colon cancer (7.3%), and stomach (6.7%). The magnitude of cancer attributable to work in the Basque Country is much higher than reflected in the official Registry of Occupational Diseases. Underreporting of work-related cancers hampers prevention and shifts funding of medical costs from social security to the tax-financed public health system.",1578-1283,-1,pubmed,1346,,,,4
44,1313,"Grignoux, Loddé, Dewitte, Larabi, Durand-Moreau",2020,Bulletin du cancer,10.1016/j.bulcan.2020.01.013,[Better screening for work-related cancers: The experience of Brest University Hospital Occupational Disease Center inpatient service].,428-437,107,4,"An in-patient clinical service has been set up in March 2016 in the Occupational Diseases Center of Brest University Hospital, France, to seek for work-relatedness of diseases in patients hospitalized into the oncology and hematology departments. We present here data after two years of existence. All cases of cancers or malignant hematological diseases (ICD-10 codes C00 to C97 and D37 to D48) seen between March 1, 2016, and March 1, 2018, have been identified. We present sociodemographic data, occupational exposures, occupation, business sector, and tobacco consumption. The causation level between the disease and each of the occupational exposures has been rated as strong, intermediate, weak or null by the occupational medicine specialist of the Occupational Diseases Center. Among the 196 patients encountered, there are 127 work-related diseases and 82 of these had one occupational exposure rated as strong or intermediate. The most frequent occupational hazards were asbestos (48 cases) and ionizing radiation (23 cases). The most frequent business sectors were metallurgy, mechanical engineering, and agriculture. Lung cancer was the most frequently reported disease (49 cases). . We identified well-known couples with occupational exposures and diseases, such as asbestos and lung cancer. We also identified a link between pesticides and leukemias. This in-patient clinical service is helpful to identify work-related exposures and in helping patients to get compensated.",1769-6917,-1,"pubmed, embase","1313, 1036",,,,5
80,1042,"Feliciano, J. and Chang, A. and Venkatraman, D. and Brooks, S. and Zagaja, C. and Ettinger, D. and Hann, C. and Naidoo, J. and Voong, R. and Hales, R. and Turner, M. and Peterson, V. and Bodurtha, J.",2020,Supportive Care Cancer,10.1007/s00520-019-04839-5,Lung cancer and family-centered concerns,497-505,28,2,"Background: Genetic and environmental interactions predispose certain groups to lung cancer, including families. Families or caregiving units experience the disease interdependently. We have previously evaluated the concerns and preferences of patients in addressing the lung cancer experience and cancer risks in their families. This qualitative study evaluates the concerns and preferences of family members and caregivers of patients with lung cancer in the lung cancer experience and familial cancer risks. Methods: We held focus groups to discuss the format and timing of addressing these preferences and concerns. Qualitative data generated was analyzed using a grounded theory approach. Results: Five focus groups totaling 19 participants were conducted. Seven themes were identified: (1) journey to lung cancer diagnosis has core dimensions for patient and family, (2) importance of communication between patients, families, and providers, (3) challenges for caregivers and family, (4) mixed perceptions of lung cancer causation among relatives, (5) discussion of cancer risk with relatives has complex dynamics, (6) impact of diagnosis on family health behaviors and screening, (7) role of genetic counseling. Conclusions: Family members of patients with lung cancer are interested in discussing risk factors, prevention, and diagnoses and also would like access to other supportive services do learn about and cope with some of the stresses and barriers they experience in the family lung cancer journey. The diagnosis represents a potential teachable moment with the opportunity to reduce the risk of LC development or improve early detection in LC patient’s family members.",1433-7339 and 0941-4355,-1,embase,1042,,,,6
79,1064,"Buresti, G. and Colonna, F. and Corfiati, M. and Valenti, A. and Persechino, B. and Marinaccio, A. and Rondinone, B.M. and Iavicoli, S.",2017,Med Lav,10.23749/mdl.v108i5.6505,Economic impact of malignant mesothelioma in Italy: an estimate of the public and social costs,358-366,108,5,"BACKGROUND: Despite their considerable interest for public health policies and for occupational disease management and assessment, the economic costs of asbestos-related diseases (ARDs) for society have not been fully estimated or even frequently discussed.",0025-7818,-1,embase,1064,,,,7
253,1408,"Legrand Cattan, Chouaïd, Monnet, Atassi, Bassinet, Dhissi, Fuhrman, Lebargy, L'Huillier, Maitre, Mangiapan, Roos, Bignon, Housset, Pairon",2000,Revue des maladies respiratoires,,[Evaluation of occupational exposures in lung cancer].,957-62,17,5,"Occupational lung cancers are underestimated by the number of cases compensated in the French National Insurance System. Rules of compensation of occupational diseases were recently modified in France. Therefore a study was conducted on incident cases of lung cancer in a general hospital in the Paris area. The aim was to evaluate the exposure to carcinogens using data of a detailed specific occupational questionnaire, and to determine the number of cases who could receive compensation. Two hundred and seven subjects (171 males, 36 females, mean age = 64.5 years) were eligible in 1996, and 122 had an occupational questionnaire. Definite exposure to one or more occupational carcinogens in at least one job was identified in 50 subjects, the most frequent agent was asbestos (42 subjects). Claim for compensation was done in 32 subjects, mainly for asbestos (30 subjects). This study emphasizes the frequency of occupational exposure to carcinogens, and the usefulness of systematic occupational questionnaire in subjects having lung cancer. Social and financial consequences are important for these subjects. Further studies are needed, with recruitement of control subjects to allow calculation of the attributable risk to occupational factors in lung cancer.",0761-8425,manual_review,"pubmed, embase","1408, 1200",,,,8
118,1637,"G. Rachiotis, C. Alexopoulos, S. Drivas",2010,Occupational Medicine,10.1093/occmed/kqq049,Re: Occupational morbidity and the state of occupational health in Greece,315-316,60,4,"Dear Sir, Dr Kourouklis [1] has presented data on disability from occupational diseases in Greece (Social Security Institution; IKA). Allergic contact dermatitis was the most prevalent diagnosis, while all respiratory disease accounted for 39% of the recognized occupational morbidity. These figures in part corroborate our results published in Occupational Medicine in 2005 [2]. Dr Kourouklis declared that occupational diseases in Greece are underreported due to the absence of a unified recording and notification system covering all insurance schemes and we agree that all schemes in the country should have a common notification system. The problem is that even if other schemes replicated the figures provided by IKA, the annual incidence rate of 0.39 recognized occupational diseases/100 000 employees would not change. Thus, the establishment of a common notification system for is only a part of the problem. Dr Kourouklis has mentioned that the renewal of the prescribed list could be a first step towards improvement of the reporting and notification of occupational diseases. We agree with him, but again the renewal of the prescribed list per se does not solve the problem of underreporting and the undiagnosed burden of occupational morbidity in Greece. An illustrative example is pleural mesothelioma that was not included in the prescribed list until 2005 and only one case of pleural mesothelioma was recognized in 2001 [2] despite the country's major asbestos industry in the past. This is also is the case for lung cancer and a Greek case–control study revealed that exposure to occupational carcinogens including asbestos was associated with an attributable risk of lung cancer 9.9–16.6% [3]. The question is why do these figures suggest under-registration of occupational disease in Greece? As well as the low number of specialized occupational physicians, problems with the notification system and renewal of the prescribed list, there are more fundamental reasons for this situation. The system of insurance coverage for occupational risk has a variety of limitations and often the main target of employers is simply to demonstrate compliance with health and safety legislation. There are no reference centres for the diagnosis and management of occupational diseases as there are for instance in the UK and occupational health and safety has received low priority in the Greek political and public agenda [4]. We feel that the current model of occupational health in Greece has exhausted all its potential for development and the under registration of occupational morbidity reflects the state of occupational health in our country.",0962-7480 1471-8405,abstract_added,openalex,1637,,,,9
86,1299,"Naghibzadeh-Tahami, Khosravi, Es'haghi, Haghdoost",2022,Medical journal of the Islamic Republic of Iran,10.47176/mjiri.36.84,Scoping Review of 5 Common Occupational Cancers and Their Related Exposures.,84,36,,"Background: Occupational cancers can be avoided by removing dangerous chemicals from the workplace or limiting occupational exposure. Approximately, 10 major risk factors account for 85% of all occupational cancers. This scoping review study aimed to determine the most important chemical carcinogens related to 5 known occupational cancers. Methods: In this scoping review, we followed Arksey and O'Malley's 5-step framework. Four databases (PubMed, Web of Science, Google Scholar, Scopus) were systematically reviewed for relevant published papers from January 2000 to September 2021. Studies were included in this scoping review, which examined the effect of carcinogenic (definite and probable) chemical exposures on 5 known occupational cancers (lung, bladder, laryngeal, leukemia, and liver). We reported the types of occupational carcinogens, the geographical diversity of studies, extraction of relative risks (RRs), hazard ratios (HRs), or odds ratios (ORs), and identified gaps in the existing literature. Results: The highest number of studies was related to lung cancer (LC) (n = 26), bladder cancer (BC) (n = 11), laryngeal cancer (LaC) (n = 8), leukemia (LeC) (n = 3), and primary liver cancer (PLC) (n = 2), respectively. Most studies were performed in France and Canada (n = 8), Germany (n = 4), Finland (n = 3), Netherlands (n = 2), and Finland (n = 2), respectively. Furthermore, the most common occupational chemical carcinogens associated with the 5 known occupational cancers were asbestos, benzene, crystalline silica, polycyclic aromatic hydrocarbons (PAH), and diesel motor exhausts (DME). Conclusion: Although the attributable risk of occupational cancers in developing countries is much higher, a small proportion of studies were performed in these countries.",1016-1430,-1,"pubmed, openalex","1299, 1650",,,,10
